split,seed,model,n,positives,prevalence,average_precision,roc_auc,precision_at_20,brier_score,validation_ap,seconds,trainable_parameters,checkpoint_reload_verified
scaffold,404,kernel_r2,229,12,0.05240174672489083,0.7968749492059882,0.9155145929339479,0.5,0.021799054144103498,0.359825790172276,,,
scaffold,404,kernel_multiscale,229,12,0.05240174672489083,0.7299182299182301,0.9139784946236559,0.5,0.021953028398095865,0.35986721998483656,,,
scaffold,404,kernel_fusion_forest,229,12,0.05240174672489083,0.8105518996507369,0.9615975422427034,0.5,0.023190299329516897,0.39359414229389833,,,
scaffold,404,kernel_chemprop_forest,229,12,0.05240174672489083,0.7863436382458123,0.9516129032258065,0.5,0.02201191812079662,0.42643744471990874,,,
scaffold,404,chemprop_forest,229,12,0.05240174672489083,0.7615310493599968,0.9539170506912442,0.5,0.02331341288286113,0.4342299235858007,,,
scaffold,505,kernel_r2,229,12,0.05240174672489083,0.4590846394962176,0.8509984639016898,0.3,0.037003966201865746,0.7269586894586896,,,
scaffold,505,kernel_multiscale,229,12,0.05240174672489083,0.43534057167800355,0.8241167434715821,0.25,0.037711288171029575,0.7289488686547511,,,
scaffold,505,kernel_fusion_forest,229,12,0.05240174672489083,0.560653029082923,0.8951612903225806,0.35,0.03490076845761665,0.7524146451033246,,,
scaffold,505,kernel_chemprop_forest,229,12,0.05240174672489083,0.5641191418780552,0.9013056835637481,0.4,0.034602075139866684,0.7440672065081131,,,
scaffold,505,chemprop_forest,229,12,0.05240174672489083,0.5629067965530922,0.9147465437788018,0.4,0.03374262422690656,0.7529135359552338,,,
