split,seed,model,baseline,average_precision_delta,roc_auc_delta,precision_at_20_delta,brier_score_delta
scaffold,303,kernel_fusion_forest,selected_blend,0.01387004973961492,0.028033794162826475,0.0,-0.001636425644373149
scaffold,303,kernel_chemprop_forest,chemprop_forest,0.002244782507940357,0.01766513056835639,0.0,-0.0007716575477772283
scaffold,404,kernel_r2,forest,-0.0028848670011965005,-0.02995391705069117,0.0,-0.0021931379956344026
scaffold,404,kernel_r2,chemprop,0.058600152107661674,-0.03840245775729634,0.0,-0.0031564959402473024
scaffold,404,kernel_multiscale,forest,-0.06984158628895465,-0.03149001536098317,0.0,-0.002039163741642036
scaffold,404,kernel_multiscale,chemprop,-0.008356567180096475,-0.03993855606758834,0.0,-0.003002521686254936
scaffold,404,kernel_fusion_forest,forest,0.010792083443552203,0.01612903225806439,0.0,-0.0008018928102210034
scaffold,404,kernel_fusion_forest,chemprop,0.07227710255241038,0.007680491551459223,0.0,-0.0017652507548339032
scaffold,404,kernel_chemprop_forest,forest,-0.0134161779613724,0.006144393241167445,0.0,-0.0019802740189412797
scaffold,404,kernel_chemprop_forest,chemprop,0.048068841147485775,-0.0023041474654377225,0.0,-0.0029436319635541795
scaffold,404,chemprop_forest,forest,-0.0382287668471879,0.008448540706605168,0.0,-0.0006787792568767707
scaffold,404,chemprop_forest,chemprop,0.023256252261670274,0.0,0.0,-0.0016421372014896705
scaffold,404,kernel_multiscale,kernel_r2,-0.06695671928775815,-0.001536098310292,0.0,0.0001539742539923665
scaffold,404,kernel_fusion_forest,selected_blend,0.001448438134994623,-0.003456221198156695,0.0,-0.005195844993813443
scaffold,404,kernel_chemprop_forest,chemprop_forest,0.0248125888858155,-0.0023041474654377225,0.0,-0.001301494762064509
scaffold,505,kernel_r2,forest,-0.13033843742685947,-0.05990783410138245,-0.04999999999999999,0.004006918166931245
scaffold,505,kernel_r2,chemprop,-0.03232170597676143,-0.016129032258064502,0.04999999999999999,0.0012510112193977463
scaffold,505,kernel_multiscale,forest,-0.1540825052450735,-0.08678955453149007,-0.09999999999999998,0.004714240136095074
scaffold,505,kernel_multiscale,chemprop,-0.05606577379497546,-0.043010752688172116,0.0,0.0019583331885615757
scaffold,505,kernel_fusion_forest,forest,-0.028770047840154023,-0.015745007680491585,0.0,0.0019037204226821508
scaffold,505,kernel_fusion_forest,chemprop,0.06924668360994402,0.028033794162826364,0.09999999999999998,-0.0008521865248513477
scaffold,505,kernel_chemprop_forest,forest,-0.02530393504502182,-0.00960061443932414,0.050000000000000044,0.001605027104932183
scaffold,505,kernel_chemprop_forest,chemprop,0.07271279640507622,0.03417818740399381,0.15000000000000002,-0.0011508798426013156
scaffold,505,chemprop_forest,forest,-0.02651628036998488,0.0038402457757296116,0.050000000000000044,0.000745576191972061
scaffold,505,chemprop_forest,chemprop,0.07150045108011316,0.04761904761904756,0.15000000000000002,-0.0020103307555614375
scaffold,505,kernel_multiscale,kernel_r2,-0.023744067818214032,-0.026881720430107614,-0.04999999999999999,0.0007073219691638294
scaffold,505,kernel_fusion_forest,selected_blend,0.08187238703492677,0.044162826420890866,0.04999999999999999,-0.0041895657917236095
scaffold,505,kernel_chemprop_forest,chemprop_forest,0.00121234532496306,-0.013440860215053752,0.0,0.0008594509129601219
